p1,p2,hu_ju,cosine,overlap,popularity,hatred,lch,lin,res,wup
car,automobile,3.92,0.376448616,0.111111111,0.165328597,0.165328597,0.538543327,0.857307287,4.447242156,0.707692308
gem,jewel,3.84,0.758465591,0.25,0.367291729,0.367291729,1,1,5.035199489,0.708041958
journey,voyage,3.84,0.416528133,0.055555556,0.38034861,0.38034861,0.105174863,0.827811893,3.636998249,0.591468645
boy,lad,3.76,0.494090945,0.103896104,0.230830699,0.230830699,-0.112658156,1,7.231576583,0.966666667
coast,shore,3.7,0.42009104,0.125,0.187681582,0.231239294,0.273488742,0.887080844,4.417132776,0.612109601
asylum,madhouse,3.61,0.581528302,0.25,0.581528302,0.581528302,0.191339306,0.873801331,2.588348344,0.520833333
magician,wizard,3.5,0.472488798,0.142857143,0.236277461,0.236277461,0.204889082,0.88489962,6.192992269,0.811107693
midday,noon,3.42,0.217084649,0,0.177064339,0.177064339,0.666249733,0.961653312,1.66290106,0.214285714
furnace,stove,3.11,0.252567722,0.045454545,0.163295339,0.163295339,1,1,4.324344953,0.568798304
food,fruit,3.08,0.400951446,0.071428571,0.255699647,0.255699647,0.586769704,0.974064496,6.356339144,0.746983409
bird,cock,3.05,0.616565199,0.153846154,0.267277588,0.185474349,0.773068579,1,8.252993817,1
bird,crane,2.97,0.432370346,0.125,0.299523434,0.163036002,0.725975752,0.960435307,6.486946184,0.923076923
tool,implement,2.95,0.434207927,0.076923077,0.326537867,0.326537867,0.23881298,0.824227671,3.694521041,0.516079363
brother,monk,2.82,0.424847923,0.083333333,0.33735104,0.257412373,0.263213001,0.858960302,6.25,0.826140351
crane,implement,1.68,0.334049949,0.142857143,0.295539267,0.295539267,-0.008892359,0.903906341,4.482926535,0.682894712
lad,brother,1.66,0.509960022,0.086956522,0.313097055,0.313097055,0.164467206,0.854110241,6.855454285,0.777777778
journey,car,1.16,0.410491989,0.142857143,0.287625938,0.287625938,0.278082314,1,5.489320072,0.746141032
monk,oracle,1.1,0.421969909,0.083333333,0.301171772,0.301171772,0.36614724,0.968831177,5.5469249,0.757088538
cemetery,woodland,1.1,0.407923964,0,0.248442907,0.248442907,0,0,5.101738502,0.729059829
food,rooster,0.89,0.488251646,0.181818182,0.247273493,0.247273493,0.615773497,0.969842112,5.021476385,0.676224283
coast,hill,0.87,0.344126515,0.133333333,0.184299576,0.184780816,0.320325423,0.894943927,5.411588843,0.702099117
forest,graveyard,0.84,0.34739383,0.071428571,0.254734966,0.254734966,0.51143885,0.935370145,4.67866666,0.685606061
shore,woodland,0.63,0.364992002,0.1,0.343168708,0.317577065,0.402888394,0.902257493,4.544067316,0.69512516
monk,slave,0.55,0.388512507,0.142857143,0.224864003,0.224864003,0.118597978,0.844432683,5.620490966,0.719421697
coast,forest,0.42,0.293399229,0.043478261,0.219352627,0.23109487,0.36019225,0.911113329,4.329903582,0.65225211
lad,wizard,0.42,0.431276923,0.095238095,0.200019536,0.200019536,0.188247601,0.880264803,6.375564515,0.852287582
chord,smile,0.13,0.365969164,0.1,0.143612993,0.23658101,1,1,7.205488596,0.872251401
glass,magician,0.11,0.387938684,0.176470588,0.212518492,0.208666012,0.072391509,0.793222354,5.494442997,0.719141438
noon,string,0.08,0.414318118,0.166666667,0.13399431,0.314299118,0.494120947,0.946367093,4.188679263,0.661904762
rooster,voyage,0.08,0.432651736,0,0.217782795,0.333666189,0.380154557,0.910010263,4.402249455,0.588235294
