car,automobile,3.92,0.376448616
gem,jewel,3.84,0.758465591
journey,voyage,3.84,0.416528133
boy,lad,3.76,0.494090945
coast,shore,3.7,0.42009104
asylum,madhouse,3.61,0.581528302
magician,wizard,3.5,0.472488798
midday,noon,3.42,0.217084649
furnace,stove,3.11,0.252567722
food,fruit,3.08,0.400951446
bird,cock,3.05,0.616565199
bird,crane,2.97,0.432370346
tool,implement,2.95,0.434207927
brother,monk,2.82,0.424847923
crane,implement,1.68,0.334049949
lad,brother,1.66,0.509960022
journey,car,1.16,0.410491989
monk,oracle,1.1,0.421969909
cemetery,woodland,1.1,0
food,rooster,0.89,0.488251646
coast,hill,0.87,0.344126515
forest,graveyard,0.84,0.34739383
shore,woodland,0.63,0.364992002
monk,slave,0.55,0.388512507
coast,forest,0.42,0.293399229
lad,wizard,0.42,0.431276923
chord,smile,0.13,0.365969164
glass,magician,0.11,0.387938684
noon,string,0.08,0.414318118
rooster,voyage,0.08,0.432651736
